"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Butlerius","3","0.0","3.2","0.0","1","1.2103","0.121","0.3025","0.4236","0.4236","0.0","0.0","0.0","0.4236","0.0","0.1663","0.0166","0.0303","0.0469","0.0469","0.0","0.0","0.0","0.0469","0.0"
"Cacopaurus","1","0.0","0.0","0.0","2","0.138","0.0069","0.0618","0.0687","0.0","0.0","0.0687","0.0","0.0","0.0","0.0103","5.0E-4","0.0035","0.004","0.0","0.0","0.004","0.0","0.0","0.0"
"Cactodera","1","0.0","0.0","0.0","3","39.3968","1.3132","4.1914","5.5047","0.0","0.0","5.5047","0.0","0.0","0.0","4.9003","0.1633","0.392","0.5549","0.0","0.0","0.5549","0.0","0.0","0.0"
"Caenorhabditis","3","0.0","3.2","0.0","1","2.0932","0.2093","0.458","0.6673","0.6673","0.0","0.0","0.0","0.6673","0.0","0.7014","0.0701","0.1129","0.183","0.183","0.0","0.0","0.0","0.183","0.0"
"Calcaridorylaimus","8","0.0","0.0","3.2","4","1.7754","0.0444","0.4162","0.4606","0.0","0.4606","0.0","0.0","0.0","0.4606","0.3726","0.0093","0.067","0.0763","0.0","0.0763","0.0","0.0","0.0","0.0763"
"Californidorus","8","0.0","0.0","3.2","4","3.5012","0.0875","0.688","0.7756","0.0","0.7756","0.0","0.0","0.0","0.7756","0.7847","0.0196","0.1198","0.1394","0.0","0.1394","0.0","0.0","0.0","0.1394"
"Calligyrus","0","0.0","0.0","3.2","4","0.2091","0.0052","0.0844","0.0897","0.0","0.0897","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Calolaimus","8","0.0","0.0","3.2","4","11.335","0.2834","1.6865","1.9698","0.0","1.9698","0.0","0.0","0.0","1.9698","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caloosia","1","0.0","0.0","0.0","3","0.7261","0.0242","0.2092","0.2334","0.0","0.0","0.2334","0.0","0.0","0.0","0.1082","0.0036","0.0247","0.0283","0.0","0.0","0.0283","0.0","0.0","0.0"
"Camallanus","0","0.0","0.0","0.0","0","415.6144","0.0","24.7892","0.0","0.0","0.0","0.0","0.0","0.0","0.0","109.0847","0.0","4.9993","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
